id,name,instructions,category,image_url,glass,is_popular
158,Happy Skipper,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",Cocktail,https://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,Highball glass,false
159,Hunter's Moon,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",Cocktail,https://www.thecocktaildb.com/images/media/drink/t0iugg1509556712.jpg,Balloon glass,false
160,Halloween Punch,"Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours. When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.",Punch,https://www.thecocktaildb.com/images/media/drink/7hcgyj1571687671.jpg,Punch bowl,false
161,Havana Cocktail,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Cocktail,https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Cocktail glass,false
162,Holloween Punch,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",Punch,https://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Punch bowl,false
163,Homemade Kahlua,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",Liqueur,https://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins glass,false
164,Hot Creamy Bush,Combine all ingredients in glass.,Coffee,https://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish Coffee Cup,false
165,Harvey Wallbanger,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/7os4gs1606854357.jpg,Collins glass,false
166,Hawaiian Cocktail,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Cocktail glass,false
167,Hemingway Special,Pour all ingredients into a shaker with ice. Shake.,Cocktail,https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Cocktail glass,false
168,Highland Fling Cocktail,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,Cocktail,https://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Cocktail glass,false
169,Hot Chocolate To Die For,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",Rich & Creamy,https://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Coffee mug,false
170,Ipamena,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime.",Cocktail,https://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine glass,false
171,Ice Pick,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,Cocktail,https://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins glass,false
172,Iced Coffee,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,Coffee,https://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee mug,false
173,Irish Cream,Mix scotch and milk. Add half-and-half. Add rest.,Liqueur,https://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish Coffee Cup,false
174,Irish Coffee,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",Coffee,https://usgsomofsav4obpi.public.blob.vercel-storage.com/Irish%20Coffee%20Cocktail.png,Irish Coffee Cup,true
175,Irish Spring,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins glass,false
176,Imperial Fizz,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Highball glass,false
177,Irish Russian,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,Beer,https://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball glass,false
178,Imperial Cocktail,Shake with ice and strain into cocktail glass.,Cocktail,https://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail glass,false
179,Iced Coffee Fillip,Mix together in a coffee mug and chill before serving.,Coffee,https://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Coffee mug,false
180,Irish Curdling Cow,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Cocktail,https://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball glass,false
181,Jam Donut,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",Shot,https://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot glass,false
182,Jitterbug,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Cocktail,https://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail glass,false
183,Jackhammer,"Serve over ice- Warning,Deadly!",Cocktail,https://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins glass,false
184,Jelly Bean,Mix equal parts in pony glass-tastes just like a jelly bean!,Shot,https://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial glass,false
185,Jello Shots,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away",Shot,https://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Shot glass,false
186,Jamaica Kiss,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,Other,https://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane glass,false
187,John Collins,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,Cocktail,https://www.thecocktaildb.com/images/media/drink/0t4bv71606854479.jpg,Collins glass,false
188,Japanese Fizz,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball glass,false
189,Jamaican Coffee,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",Coffee,https://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne flute,false
190,Just A Moonmint,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Other,https://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball glass,false
191,Jewel Of The Nile,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Cocktail,https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail glass,false
192,Jack Rose Cocktail,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail glass,false
193,Jack's Vanilla Coke,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",Other,https://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned glass,false
194,Kir,"Add the crème de cassis to the bottom of the glass, then top up with wine.",Cocktail,https://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine glass,false
195,Karsk,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",Cocktail,https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball glass,false
196,Kamikaze,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg,Cocktail glass,false
197,Kir Royale,"Pour Creme de cassis in glass, gently pour champagne on top.",Cocktail,https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Champagne flute,false
198,Kiwi Lemon,Mix in highball glass. Stirr. Garnish with slice of kiwi.,Cocktail,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Highball glass,false
199,Kurant Tea,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",Coffee,https://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Champagne flute,false
200,Kioki Coffee,Stir. Add whipped cream to the top.,Coffee,https://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Coffee mug,false
201,Kiwi Martini,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.",Cocktail,https://www.thecocktaildb.com/images/media/drink/bmxmyq1630407098.jpg,Cocktail glass,false
202,Kiss Me Quick,Mix in the glass.,Cocktail,https://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Highball glass,false
203,Kool-Aid Shot,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,Shot,https://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Old-fashioned glass,false
204,Kool First Aid,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",Shot,https://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Shot glass,false
205,Kentucky B And B,Pour the bourbon and Benedictine into a brandy snifter.,Cocktail,https://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy snifter,false
206,Kentucky Colonel,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,Cocktail,https://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Cocktail glass,false
207,Kool-Aid Slammer,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",Shot,https://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Shot glass,false
208,Kiwi Papaya Smoothie,Throw everything into a blender and liquify.,Other,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Highball glass,false
209,Kill The Cold Smoothie,Juice ginger and lemon and add it to hot water. You may add cardomom.,Other,https://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Highball glass,false
210,Limeade,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",Other,https://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,Highball glass,false
211,Lunch Box,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,Beer,https://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,Pint glass,false
212,Lemon Drop,Shake and strain into a chilled cocktail glass rimmed with sugar.,Cocktail,https://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,Cocktail glass,false
213,Lemon Shot,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",Shot,https://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,Shot glass,false
214,Long Vodka,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka.",Cocktail,https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,Highball glass,false
215,Lassi Khara,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,Other,https://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,Highball glass,false
216,Lassi Raita,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",Other,https://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,Highball glass,false
217,Lemouroudji,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.",Other,https://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,Highball glass,false
218,Loch Lomond,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",Cocktail,https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,Cocktail glass,false
219,London Town,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Cocktail,https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,Cocktail glass,false
